Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
BR023,DABM- 1964,"Sente, talas, segar",Umbi Berpati,Tunggal/Single,14,353,0.7,0.2,84.7,6.6,0.011,0.013,0.0015,0.03,0.6946,0.0006,0.0001,0.0002,0.005
BR024,KZGPI- 1990,"Suweg, talas, segar",Umbi Berpati,Tunggal/Single,80.1,74,1.4,0.1,17.2,1.4,0.042,0.046,0.0013,0.007,0.4,0.0001,0,0,0.002
BR025,KZGPI- 1990,"Talas bogor, segar",Umbi Berpati,Tunggal/Single,72.4,108,1.4,0.4,25,0.9,0.047,0.067,0.0007,0.01,0.448,0.0002,0.0001,0.0001,0.004
BR026,KZGPI- 1990,"Talas pontianak, segar",Umbi Berpati,Tunggal/Single,60,163,2.3,0.5,36.4,0.7,0.045,0.08,0.0017,0.014,0.3231,0.0003,0,0.0001,0
BR027,KZGMI-2001,"Talas viqueque, segar",Umbi Berpati,Tunggal/Single,70.6,115,1.8,0.5,25.9,8.6,0.05,0.22,0.0009,0.001,0.07,0.0003,0.0001,0.0001,0
BR028,KZGMI-2001,"Ubi jalar, kuning, segar",Umbi Berpati,Tunggal/Single,72.6,119,0.5,0.4,25.1,4.2,0.03,0.04,0.0004,0.003,0.001,0.0001,0.0001,0.0001,0.021
BR029,KZGPI- 1990,"Ubi jalar manis, segar",Umbi Berpati,Tunggal/Single,78.4,83,1.5,0.2,18.8,0.6,0.027,0.162,0.0021,0.052,0.3207,0.0001,0,0,0
BR030,KZGPI- 1990,"Ubi jalar merah, segar",Umbi Berpati,Tunggal/Single,61.9,151,1.6,0.3,35.4,0.7,0.029,0.074,0.0007,0.092,0.5656,0.0003,0.0001,0.0001,0.011
BR031,KZGMI-2001,"Ubi jalar putih, segar",Umbi Berpati,Tunggal/Single,77.8,88,0.4,0.4,20.6,4,0.03,0.01,0.0005,0.002,0.004,0.0001,0.0003,0.0001,0.036
BR032,KZGMI-2001,Ubi jalar tinta/kemayung,Umbi Berpati,Tunggal/Single,72.5,108,0.5,0.4,25.6,4.2,0.03,0.04,0.0005,0.001,0.001,0.0001,0.0001,0.0001,0.024
BR033,BKP,"Umbi Uwi, segar",Umbi Berpati,Tunggal/Single,69.7,120,2.8,0.5,82.3,2.6,0.009,0.042,0.0013,0.012,0.412,0.0003,0,0.0005,0.004
BP001,KZGMI-2001,"Batatas kelapa, ubi,",Umbi Berpati,Olahan/Produk,73.2,110,1.4,1.1,23.4,4.5,0.001,0.046,0.0002,0.012,0.23,0.0002,0.0011,0,0
BP002,KZGMI-2001,"Batatas kelapa, ubi,",Umbi Berpati,Olahan/Produk,75.7,92,1.2,0.3,21,4.1,0,0.042,0.0002,0.01,0.209,0.0002,0.0003,0,0
BP003,KZGMI-2001,"Batatas tali, ubi, rebus",Umbi Berpati,Olahan/Produk,53.2,182,2.4,0.4,42.2,9.2,0.001,0.08,0.0003,0.02,0.402,0.0003,0.0003,0,0
BP004,KZGPI- 1990,"Belitung, talas, kukus",Umbi Berpati,Olahan/Produk,63.1,145,1.2,0.4,34.2,1,0.021,0.048,0.0009,0.007,0.5526,0.0002,0.0001,0.0001,0.001
BP005,KZGPI- 1990,"Bentul, talas, kukus",Umbi Berpati,Olahan/Produk,81.1,71,2.3,0.3,15.4,0.5,0.029,0.026,0.0006,0,0.201,0.0002,0.0001,0,0.021
BP006,KZGPI- 1990,"Gadung, ubi, kukus",Umbi Berpati,Olahan/Produk,77.4,88,0.6,0.3,20.9,0.9,0.026,0.047,0.0004,0.006,0.584,0.0002,0,0,0
BP007,KZGPI- 1990,"Ganyong, rebus",Umbi Berpati,Olahan/Produk,74.1,100,0.8,0.2,23.8,0.9,0.015,0.065,0.0009,0,0,0,0,0,0.006
BP008,KZGPI- 1990,Ketela pohon/,Umbi Berpati,Olahan/Produk,61.5,153,1.2,0.3,36.4,1.3,0.056,0.022,0.0004,0.002,0.3453,0.0003,0,0,0.02
BP009,KZGPI- 1990,"Suweg, talas, kukus",Umbi Berpati,Olahan/Produk,75.5,93,1.5,0.1,21.9,0.9,0.05,0.058,0.0008,0.006,0.3503,0.0001,0.0001,0,0
BP010,KZGPI- 1990,"Talas bogor, kukus",Umbi Berpati,Olahan/Produk,69.2,120,1.5,0.3,28.2,0.7,0.031,0.063,0.0007,0.011,0.498,0.0002,0.0001,0.0006,0.002
BP011,KZGPI- 1990,"Ubi jalar, kuning,",Umbi Berpati,Olahan/Produk,74.2,100,0.7,0.3,23.8,1,0.044,0.046,0.0004,0.003,0.0008,0.0001,0,0.0001,0.016
BP012,KZGPI- 1990,Ubi jalar tinta/kemayung,Umbi Berpati,Olahan/Produk,58.5,165,0.9,0.2,39.8,1.1,0.02,0.023,0.0008,0.001,0.0009,0.0001,0,0.0001,0
BP013,KZGMI-2001,Bagea kelapa asin,Umbi Berpati,Olahan/Produk,3.5,450,3.2,13.9,78.1,0,0.038,0.038,0.0003,0.074,0,0.0002,0.0003,0,0
BP014,KZGMI-2001,Bagea kelapa manis,Umbi Berpati,Olahan/Produk,3,452,1.3,13.8,80.6,0,0.038,0.039,0.0003,0.075,0,0.0002,0,0,0
BP015,KZGMI-2001,Bagea kenari asin,Umbi Berpati,Olahan/Produk,2.8,529,3.2,29.1,63.6,0,0.038,0.04,0.0004,0.074,0,0.0002,0.0003,0,0
BP016,KZGMI-2001,Bagea kenari manis,Umbi Berpati,Olahan/Produk,3.1,523,3.2,28.2,64.2,0,0.038,0.039,0.0003,0.074,0,0.0002,0.0003,0,0
BP017,KZGPI- 1990,Bagea kw 1,Umbi Berpati,Olahan/Produk,7.2,416,6.5,9.4,76.3,0.4,0.049,0.077,0.0049,0,0,0,0.0001,0,0
BP018,KZGPI- 1990,Bagea kw 2,Umbi Berpati,Olahan/Produk,7.9,382,0.3,3.5,87.2,0.9,0.172,0.12,0.0076,0,0,0,0,0,0
BP019,BKP,Beras Cerdas,Umbi Berpati,Olahan/Produk,11.3,350,2.7,1.1,82.3,6.2,0.028,0.351,0.0029,0.358,0.568,0.0002,0,0.0002,0
BP020,BKP,Beras ganyong,Umbi Berpati,Olahan/Produk,9.3,364,3.4,0.7,86.3,4.7,0.004,0.047,0.005,0.004,0.0722,0.0002,0,0,0
BP021,BKP,Beras Siger,Umbi Berpati,Olahan/Produk,13.5,344,1.1,0.2,28.3,5.6,0.032,0.022,0.0056,0.106,0.0779,0.0001,0,0.0001,0
BP022,KZGMI-2001,Biji nangka/Biji salak,Umbi Berpati,Olahan/Produk,40.5,262,2.3,5.4,51.1,8,0.06,0.08,0.0008,0.01,0.002,0.0006,0.0001,0.001,0.01
BP023,KZGMI-2001,Bubur sagu,Umbi Berpati,Olahan/Produk,62.5,167,0.2,4,33,0,0.003,0.003,0.0001,0.007,0,0.0001,0.009,0,0
BP024,KZGPI- 1990,Cassavastick,Umbi Berpati,Olahan/Produk,5.6,460,0.8,18.7,17.2,1.6,0.144,0.058,0.0075,0,0,0,0.0002,0.0001,0
BP025,KZGPI- 1990,Ceriping getuk singkong,Umbi Berpati,Olahan/Produk,0,7.2,462,1.2,20.7,67.7,0.003,1.248,0.172,0.0088,0,0,0.0003,0,0
BP026,BKP,Gatot,Umbi Berpati,Olahan/Produk,12.8,347,1.3,0.7,83.8,5.8,0.078,0.044,0.0171,0.028,0.242,0.0002,0,0.0001,0
BP027,BKP,Geblek,Umbi Berpati,Olahan/Produk,52.1,195,0.4,1.7,44.4,3.6,0.035,0.013,0.0006,0.353,0.125,0.0003,0,0,0
BP028,KZGPI- 1990,Getuk goreng,Umbi Berpati,Olahan/Produk,16.5,360,1.3,6.4,74.3,0.8,0.059,0.081,0.0032,0,0,0,0.0002,0,0
BP029,KZGPI- 1990,Getuk singkong,Umbi Berpati,Olahan/Produk,49.8,204,0.5,1.4,47.4,0.8,0.097,0.052,0.0015,0,0,0,0.0001,0,0
BP030,KZGPI- 1990,Gurandil,Umbi Berpati,Olahan/Produk,47.5,218,0.5,2.5,48.5,3.1,0.05,0.025,0.0028,0,0,0,0.0002,0,0
BP031,KZGMI-2001,Kabuto,Umbi Berpati,Olahan/Produk,58.9,250,2.6,2.5,35.4,1.8,0.035,0.049,0.0011,0.002,0.218,0,0.0001,0.0001,0
BP032,KZGMI-2001,Kapurung,Umbi Berpati,Olahan/Produk,79.6,41,2,0.3,7.8,2,0.034,0.012,0.0003,0.185,0.566,0.0001,0.0001,0.0003,0.015
BP033,KZGPI- 1990,Kecimpring singkong,Umbi Berpati,Olahan/Produk,3.7,464,1.2,18.6,73,1.3,0.082,0.052,0.0034,0,0,0,0.0003,0,0
BP034,KZGPI- 1990,Keremes,Umbi Berpati,Olahan/Produk,6.7,475,1.6,25.2,64.4,2.1,0.153,0.088,0.001,0,0,0,0,0,0
BP035,KZGPI- 1990,Keripik gadung,Umbi Berpati,Olahan/Produk,4,446,2.8,14.5,76,1.7,0.147,0.052,0.0019,0,0,0,0.001,0,0
BP036,KZGMI-2001,Keripik kentang,Umbi Berpati,Olahan/Produk,7.8,448,2.7,18.8,67.1,3.8,0.025,0.13,0.0012,0.712,0.406,0.0011,0.0001,0.0001,0
BP037,KZGPI- 1990,Keripik singkong,Umbi Berpati,Olahan/Produk,4.2,478,0.9,20.7,72,2,0.189,0.101,0.0019,0,0,0,0.0002,0,0
BP038,KZGPI- 1990,Keripik singkong berbumbu,Umbi Berpati,Olahan/Produk,2.2,481,2.2,19.7,73.6,1.6,0.156,0.103,0.0016,0,0,0,0.0003,0,0
BP039,KZGMI-2001,Keripik ubi,Umbi Berpati,Olahan/Produk,6,486,0.2,23.9,67.6,14.3,0.068,0.092,0.0009,0.052,0.002,0.0007,0.0001,0.0001,0
BP040,KZGMI-2001,Kerupuk cumi goreng,Umbi Berpati,Olahan/Produk,3.4,444,6.9,14.6,71.3,5,0.047,0.375,0.0018,0.837,0.191,0.0001,0.0004,0.0001,0
BP041,KZGMI-2001,Kerupuk kemplang (ikan) mentah,Umbi Berpati,Olahan/Produk,14.2,325,1.8,0.4,78.5,4.5,0.059,0.268,0.0023,1.123,0.273,0.0002,0.0006,0.0001,0
BP042,KZGPI- 1990,Kerupuk kemplang goreng,Umbi Berpati,Olahan/Produk,5.8,504,5.6,28.1,57.1,0.3,0.05,0.094,0.0029,0,0,0,0.0003,0,0
BP043,KZGPI- 1990,Kerupuk kemplang panggang,Umbi Berpati,Olahan/Produk,9.4,356,9.7,1.1,76.9,1,0.062,0.129,0.0029,0,0,0,0.0004,0,0
BP044,KZGPI- 1990,Kerupuk mie kuning goreng,Umbi Berpati,Olahan/Produk,7.2,476,0.1,21.1,71.3,4.2,0.057,0.036,0.0046,0,0.109,0.0001,0.0002,0,0
BP045,KZGMI-2001,Kerupuk udang goreng,Umbi Berpati,Olahan/Produk,4.4,477,4.7,20.5,68.5,5,0.024,0.188,0.0009,0.449,0.109,0.0001,0.0002,0,0
BP046,KZGMI-2001,Kue bangket,Umbi Berpati,Olahan/Produk,16.1,338,1.5,1.2,80.3,0,0.034,0.035,0.0003,0.067,0,0.0002,0.0003,0,0
BP047,KZGMI-2001,Kue putu singkong,Umbi Berpati,Olahan/Produk,44.2,217,1.2,0.5,53.2,2.4,0.048,0.068,0.0015,0.003,0.305,0,0.0001,0.0001,0
BP048,KZGPI- 1990,Lanting getuk,Umbi Berpati,Olahan/Produk,4.2,422,0.9,10.8,80.4,1.4,0.206,0.104,0.0036,0,0,0,0.0004,0,0
BP049,KZGPI- 1990,Mi golosor,Umbi Berpati,Olahan/Produk,82.9,71,0.2,0.8,15.9,0.1,0.117,0.005,0.0002,0,0,0,0.0001,0,0
BP050,BKP,Mie Bendo,Umbi Berpati,Olahan/Produk,11.5,353,0.3,0,88,2.4,0.028,0.014,0.0028,0.009,0.0492,0.0005,0,0,0
BP051,BKP,Mie Sagu,Umbi Berpati,Olahan/Produk,52.8,190,0.2,0.4,46.5,1.4,0.008,0.007,0.0003,0.01,0.0026,0.0001,0,0.0004,0
BP052,KZGPI- 1990,Ongol-ongol sagu,Umbi Berpati,Olahan/Produk,75.3,111,0.3,2.7,21.2,0.3,0.079,0.015,0.0017,0,0,0,0.0001,0,0
BP053,BKP,Oyek,Umbi Berpati,Olahan/Produk,12.6,351,0.9,0.9,84.9,4.3,0.06,0.036,0.0021,0.005,0.229,0.0001,0,0,0
BP054,KZGMI-2001,Papeda,Umbi Berpati,Olahan/Produk,84.8,61,0.2,0.1,14.9,0.5,0.003,0.001,0.0002,0.004,0.02,0.0001,0.0001,0,0
BP055,BKP,Rasbi (Beras Ubi),Umbi Berpati,Olahan/Produk,11.1,394,2.2,8.8,76.6,6.8,0.068,0.076,0.0016,0.165,0.388,0.0004,0,0.0003,0
BP056,BKP,Rasi (Beras Singkong),Umbi Berpati,Olahan/Produk,12.6,350,0.9,0.4,85.7,14.4,0.042,0.021,0.0015,0.008,0.014,0.0003,0,0,0
BP057,KZGMI-2001,Sagu forno,Umbi Berpati,Olahan/Produk,31.5,291,0.5,4,63.4,0,0.01,0.02,0.0008,0.04,0.05,0.0001,0,0,0
BP058,BKP,Sagu Lemak (Kue Sagon),Umbi Berpati,Olahan/Produk,4.3,452,2.8,14.8,76.8,1.1,0.015,0.039,0.0011,0.182,0.0527,0,0.0003,0,0
BP059,KZGMI-2001,Sagu manis,Umbi Berpati,Olahan/Produk,32.6,287,0.5,3.9,62.4,0,0.008,0.017,0.0007,0.034,0.042,0.0001,0,0,0
BP060,BKP,Sagu Rendang,Umbi Berpati,Olahan/Produk,8.2,364,0.1,0.2,90.5,1.9,0.013,0.009,0.0039,0.042,0.0151,0.0001,0,0.0006,0
BP061,KZGMI-2001,Sagu sinole,Umbi Berpati,Olahan/Produk,22,354,0.8,8.3,68.9,0,0.01,0.03,0.0008,0.03,0.011,0.0002,0,0,0
BP062,KZGPI- 1990,Serimping talas kebumen,Umbi Berpati,Olahan/Produk,4.8,478,2.5,21.2,69.2,1.7,0.112,0.118,0.0023,0,0,0,0.0003,0,0
BP063,KZGPI- 1990,Tapai singkong,Umbi Berpati,Olahan/Produk,57.4,169,1.4,0.3,40.2,2,0.021,0.034,0.0008,0,0,0,0,0,0.009
BP064,DABM- 1964,Tepung Arrowroot,Umbi Berpati,Olahan/Produk,13.6,355,0.7,0.2,85.2,0.4,0.008,0.022,0.0015,0.002,0.0107,0,0.0001,0,0
BP065,BKP,Tepung Ganyong,Umbi Berpati,Olahan/Produk,13.6,353,0.8,1.7,83.6,0.7,0.004,0.031,0.0033,0.003,0.0635,0.0001,0,0,0.001
BP066,BKP,Tepung Gaplek,Umbi Berpati,Olahan/Produk,13,345,2.4,0.4,83.1,6.7,0.018,0.095,0.0015,0.006,0.055,0.0004,0.0003,0.0002,0
BP067,DABM- 1964,"Tepung kentang, kering",Umbi Berpati,Olahan/Produk,13,347,0.3,0.1,85.6,0.4,0.02,0.03,0.0005,0.051,0.1563,0.0002,0,0,0
BP068,BKP,Tepung Mocaf,Umbi Berpati,Olahan/Produk,11.9,350,1.2,0.6,85,6,0.06,0.064,0.0158,0.008,0.403,0.0001,0,0,0.002
BP069,BKP,Tepung Sente,Umbi Berpati,Olahan/Produk,15.3,326,4,0.4,76.7,8.5,0.041,0.141,0.0035,0.014,1.602,0,0,0.0002,0
BP070,DABM- 1964,Tepung singkong/ Tapioka,Umbi Berpati,Olahan/Produk,9.1,363,1.1,0.5,88.2,0.9,0.084,0.125,0.001,0.001,0.0071,0,0,0,0
BP071,BKP,Tepung Tales Beneng,Umbi Berpati,Olahan/Produk,12.2,332,5.7,0.6,76.1,12.2,0.059,0.302,0.0107,0.007,1.404,0,0,0.0001,0
BP072,BKP,Tepung Ubi Ungu,Umbi Berpati,Olahan/Produk,9.4,354,2.8,0.6,84.4,12.9,0.089,0.125,0.0039,0.042,0.94,0.0008,0.0004,0,0
BP073,BKP,Tiwul,Umbi Berpati,Olahan/Produk,11.2,353,2.4,1.1,83.4,6.5,0.055,0.095,0.0047,0.005,0.67,0.0002,0,0,0.003
BP074,BKP,Tiwul Instan,Umbi Berpati,Olahan/Produk,9.1,395,3.2,8.5,76.5,4.2,0.081,0.081,0.0058,0.377,0.469,0.0021,0.0004,0.0002,0.004
BP075,BKP,Ubi Cilembu,Umbi Berpati,Olahan/Produk,52.7,186,1.9,0.2,44.3,3.4,0.037,0.051,0.0006,0.001,0.0619,0.0001,0,0.0002,0
BP076,KZGMI-2001,Uli batatas,Umbi Berpati,Olahan/Produk,66.5,150,1.1,4,27.4,0,0,0.023,0.0001,0.006,0.112,0.0001,0.0005,0,0
CR001,DABM-1964,"Kacang arab, kering","Kacang, Biji, Bean",Tunggal/Single,11.6,330,23.8,1.4,60.2,17.4,0.057,0.388,0.0047,0.024,0.8743,0.0009,0.0008,0.0002,0.002
CR002,KZGPI-1990,"Kacang babi, kering","Kacang, Biji, Bean",Tunggal/Single,11.6,341,30.4,3.2,51.3,4.5,0.178,0.521,0.0068,0.013,1.768,0.0008,0.0002,0.0003,0
CR003,KZGPI-1990,"Kacang belimbing kecipir, kering","Kacang, Biji, Bean",Tunggal/Single,10.4,400,34.4,16.9,34.1,10.7,0.468,0.182,0.0068,0.037,0.955,0.0028,0.0003,0.0004,0
CR004,KZGMI-2001,"Kacang beracun, segar","Kacang, Biji, Bean",Tunggal/Single,72.1,118,4.4,1.5,21.6,0,0.05,0.05,0.0017,0.01,0.04,0.0003,0.0004,0,0
CR005,DABM-1964,"Kacang bogor, kering","Kacang, Biji, Bean",Tunggal/Single,10,370,16,6,65,26.3,0.085,0.264,0.0042,0.044,0.8688,0.0015,0.0002,0.0003,0
CR006,KZGPI-1990,"Kacang bogor, segar","Kacang, Biji, Bean",Tunggal/Single,60.8,165,7.7,3.1,27.4,2.5,0.096,0.126,0.0053,0.006,0.537,0.0004,0.0003,0.0004,0
CR007,DABM-1964,"Kacang endel, biji, kering","Kacang, Biji, Bean",Tunggal/Single,14,331,25,1,58,23.6,0.08,0.4,0.005,0.012,1.3224,0.0007,0.0003,0.0008,0
CR008,KZGMI-2001,"Kacang ercis, segar","Kacang, Biji, Bean",Tunggal/Single,67.6,129,12.4,0.7,18.3,28.6,0.04,0.13,0.0023,0.004,0.31,0.0003,0.0003,0.0001,0
CR009,DABM-1964,"kacang galing, segar","Kacang, Biji, Bean",Tunggal/Single,12,336,23.1,1.7,59.5,0,0.08,0.4,0.005,0,0,0,0.0006,0,0
CR010,KZGPI-1990,"Kacang gude, biji, kering","Kacang, Biji, Bean",Tunggal/Single,16.1,316,20.7,1,58,4.6,0.146,0.445,0.0047,0.016,1.3062,0.001,0.0003,0.0002,0
CR011,DABM-1964," Kacang gude, biji, segar","Kacang, Biji, Bean",Tunggal/Single,70.3,114,7,0.6,20.8,4.4,0.003,0.122,0.0015,0.004,0.4805,0.0001,0.0004,0.0001,0.043
CR012,KZGPI-1990,"Kacang hijau var, bakti, kering","Kacang, Biji, Bean",Tunggal/Single,7.4,350,17.1,1.8,70.7,5.7,0.094,0.315,0.0049,0.046,0.8939,0.0015,0.0004,0.0003,0.011
CR013,KZGPI-1990,"Kacang hijau var, siwalik, kering","Kacang, Biji, Bean",Tunggal/Single,8.8,339,20.8,2.1,64.6,7.4,0.122,0.136,0.0049,0.045,0.8804,0.0015,0.0005,0.0003,0
CR014,KZGPI-1990,"Kacang hijau, kering","Kacang, Biji, Bean",Tunggal/Single,15.5,323,22.9,1.5,56.8,7.5,0.223,0.319,0.0075,0.042,0.8157,0.0019,0.0005,0.0002,0.01
CR015,KZGMI-2001,"Kacang hitam, kering","Kacang, Biji, Bean",Tunggal/Single,12.5,346,16.6,1.7,66.1,22.8,0.07,0.3,0.0047,0.003,0,0.0009,0.0002,0.0001,0
CR016,DABM-1964,"Kacang kapri, segar","Kacang, Biji, Bean",Tunggal/Single,74.3,98,6.7,0.4,17.7,6.2,0.022,0.122,0.0019,0.006,0.2966,0.0002,0.0003,0.0002,0.026
CR017,KZGPI-1990,"Kacang kedelai, kering","Kacang, Biji, Bean",Tunggal/Single,12.7,381,40.4,16.7,24.9,3.2,0.222,0.682,0.01,0.21,0.7134,0.0016,0.0005,0.0001,0
CR018,DABM-1964,"Kacang kedelai, segar","Kacang, Biji, Bean",Tunggal/Single,20,286,30.2,15.6,30.1,2.9,0.196,0.506,0.0069,0.028,0.8709,0.0012,0.0009,0.0003,0
CR019,KZGMI-2001,"Kacang kincai, kering","Kacang, Biji, Bean",Tunggal/Single,4.2,444,19.9,16,55,0,0.026,0,0,0,0,0,0.0001,0.0001,0
CR020,KZGMI-2001,"Kacang komak, segar","Kacang, Biji, Bean",Tunggal/Single,20.9,327,16.4,4.3,55.8,0.5,0.074,0.282,0.004,0.022,1.137,0.0009,0.001,0.0001,0
CR021,KZGMI-2001,"Kacang kuning, kering","Kacang, Biji, Bean",Tunggal/Single,11.7,355,17,2.5,66,15.1,0.14,0.22,0.0058,0.001,0,0.0007,0.0005,0.0001,0
CR022,KZGMI-2001,"Kacang lebui /iris, kering","Kacang, Biji, Bean",Tunggal/Single,11.8,346,16.5,1.5,66.6,37.3,0.144,0.368,0.0034,0.017,1.225,0.0015,0.0006,0.0002,0
CR023,KZGMI-2001,"Kacang mentega, kering","Kacang, Biji, Bean",Tunggal/Single,13.7,344,16.7,2.1,64.6,13,0.11,0.3,0.0067,0.001,0.01,0.0007,0.0002,0.0001,0
CR024,KZGMI-2001,"Kacang merah /banda, kering","Kacang, Biji, Bean",Tunggal/Single,13,350,13.9,3,66.9,26.3,0.084,0.242,0.0068,0.019,1.127,0,0.0002,0.0008,0
CR025,KZGPI- l990,"Kacang merah tua, kering","Kacang, Biji, Bean",Tunggal/Single,12.3,280,16.7,1.6,63.2,4.6,0.209,0.335,0.0064,0.019,1.3485,0.0007,0.0001,0.0001,0.006
CR026,KZGPI- l990,"Kacang merah, kering","Kacang, Biji, Bean",Tunggal/Single,17.7,314,22.1,1.1,56.2,4,0.502,0.429,0.0103,0.011,1.2655,0.0007,0.0004,0.0007,0
CR027,KZGPI- l990,"Kacang merah, segar","Kacang, Biji, Bean",Tunggal/Single,57.2,171,11,2.2,28,2.1,0.293,0.134,0.0037,0.007,0.3607,0.0003,0.0002,0.0002,0
CR028,KZGMI-2001,"Kacang mete/biji jambu monyet, segar","Kacang, Biji, Bean",Tunggal/Single,4.6,616,16.3,48.4,28.7,0.9,0.026,0.521,0.0038,0.026,0.692,0.0047,0.0006,0,0
CR029,DABM-1964,"Kacang panjang, biji, kering","Kacang, Biji, Bean",Tunggal/Single,12.2,357,17.3,1.5,68.6,10.6,0.163,0.437,0.0069,0.016,1.1094,0.0004,0.0006,0.001,0.002
CR030,KZGPI- l990,Kacang tanah sangan,"Kacang, Biji, Bean",Tunggal/Single,1.2,560,29.5,43,24.1,2.9,0.107,0.366,0.0041,0.034,0.5098,0.0017,0.0003,0.0003,0
CR031,DABM-1964,Kacang tanah sangan tangan selaput,"Kacang, Biji, Bean",Tunggal/Single,2.6,559,26.9,44.2,23.6,2.6,0.074,0.393,0.0019,0.033,0.2023,0.5204,0,0.0003,0
CR032,KZGPI- l990,"Kacang tanah, kering","Kacang, Biji, Bean",Tunggal/Single,9.6,525,27.9,42.7,17.4,2.4,0.316,0.456,0.0057,0.031,0.4665,0.0016,0.0004,0.0003,0
CR033,KZGPI- l990,"Kacang tolo / tunggak, kering","Kacang, Biji, Bean",Tunggal/Single,13.5,331,24.4,1.9,56.6,1.6,0.481,0.399,0.0139,0.015,0.0078,0.001,0.0001,0.0002,0
CR034,KZGMI-2001,"Kacang tunis, kering","Kacang, Biji, Bean",Tunggal/Single,10.5,351,12.2,1.2,72.9,29.5,0.12,0.22,0.0069,0.001,0,0.0014,0.0006,0.0001,0
CR035,KZGPI- l990,"Kacang uci, kering","Kacang, Biji, Bean",Tunggal/Single,9.9,358,23.4,2.4,60.6,7.4,0.269,0.264,0.0005,0.013,1.4577,0.0004,0.0001,0.0002,0.002
CR036,KZGMI-2001,"Kacang urei, kering","Kacang, Biji, Bean",Tunggal/Single,12.8,354,12.8,1.8,69.3,26.1,0.22,0.22,0.0051,0.001,0,0.0007,0.0006,0.0001,0
CR037,KZGMI-2001,"Kenari banda, kering","Kacang, Biji, Bean",Tunggal/Single,13,616,13.9,56.2,13.7,0,0,0.38,0.0014,0.011,0.46,0.0011,0.0008,0.0001,0
CR038,DABM-1964,"Kenari, kering","Kacang, Biji, Bean",Tunggal/Single,3,657,15,66,13,0,0.092,0.691,0.0077,0.003,0.5058,0.001,0.0004,0.0001,0
CR039,KZGMI-2001,"Komak polong, segar","Kacang, Biji, Bean",Tunggal/Single,74.3,99,3.3,0.1,21.2,10.3,0.05,0.099,0.0131,0.015,0.567,0.0002,0.0001,0,0
CR040,KZGPI- 1990,"Koro andong, kering","Kacang, Biji, Bean",Tunggal/Single,10.8,356,20.5,4.1,61.6,7,0.15,0.272,0.0062,0.018,0.3018,0.0007,0.0003,0,0.001
CR041,DABM-1964,"Koro benguk, biji, kering","Kacang, Biji, Bean",Tunggal/Single,15,332,24,3,55,5.6,0.03,0.2,0.002,0.042,0.3892,0.0013,0.0003,0.0001,0
CR042,DABM-1964,"Koro kerupuk, biji, segar","Kacang, Biji, Bean",Tunggal/Single,67.2,125,8.3,0.7,22.1,2.2,0.017,0.012,0.0027,0.016,0.1503,0.0005,0.0001,0,0.031
CR043,DABM-1964,"Koro loke, biji, segar","Kacang, Biji, Bean",Tunggal/Single,88.6,33,2.7,0.2,7.9,3.5,0.06,0.04,0.002,0.002,0.0386,0.0001,0.0001,0,0
CR044,KZGPI- 1990,"Koro roay, kering","Kacang, Biji, Bean",Tunggal/Single,13,344,12.5,2.1,69.4,7.5,0.07,0.103,0.0044,0.018,0.2943,0.0007,0.0001,0.0002,0.001
CR045,DABM-1964,"Koro wedus, biji, kering","Kacang, Biji, Bean",Tunggal/Single,11.8,338,22.2,1.5,61,5.8,0.088,0.395,0.0035,0.043,0.4038,0.0013,0.0006,0.0001,0
CR046,DABM-1964,"Lamtoro biji, muda, segar","Kacang, Biji, Bean",Tunggal/Single,77.4,85,5.7,0.3,15.4,10.8,0.18,0.053,0.0027,0.035,0.4857,0,0.0001,0.0012,0.015
CR047,DABM-1964,"Lamtoro biji, tua, segar","Kacang, Biji, Bean",Tunggal/Single,61.4,148,10.6,0.5,26.2,17,0.155,0.059,0.0022,0.028,0.6285,0,0.0002,0.0005,0.02
CR048,KZGPI- 1990,"Lamtoro var, gung tanpa kulit","Kacang, Biji, Bean",Tunggal/Single,10.2,367,46.4,5.4,32.5,2.6,0.136,0.441,0.0233,0.065,1.4623,0.0001,0.0001,0.0012,0.009
CR049,KZGPI- 1990,"Lamtoro var, lokal dengan kulit","Kacang, Biji, Bean",Tunggal/Single,13.5,336,23.8,1.2,59.7,15.4,0.867,0.321,0.0015,0.134,1.8589,0.0001,0.0002,0.0013,0.016
CR050,DABM-1964,"Nangka, biji, segar","Kacang, Biji, Bean",Tunggal/Single,57.7,165,4.2,0.1,36.7,1.8,0.033,0.2,0.001,0.069,0.179,0.0001,0.0002,0,0.01
CR051,KZGPI- 1990,"Saga merah terkupas, mentah","Kacang, Biji, Bean",Tunggal/Single,8.1,449,30.6,25.5,31.9,3.5,1.062,0.161,0.0142,0.066,1.4965,0.0001,0.0001,0.0015,0.007
CR052,DABM-1964,"Wijen, mentah","Kacang, Biji, Bean",Tunggal/Single,5.8,568,19.3,51.1,18.1,3.6,1.125,0.614,0.0095,0.018,0.3037,0.0042,0.0009,0.0002,0
